chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'CM027507.1'	770000	805000	790	3.5457430466893713e-09	3.345624269584353e-09	3.7102198233322566e-09
b'CM027507.1'	805000	840000	643	3.496286720264254e-09	3.2961679431592357e-09	3.6607634969071394e-09
b'CM027507.1'	840000	875000	654	3.0858962549962117e-09	2.7783073228937356e-09	3.2787054402805152e-09
b'CM027507.1'	875000	910000	529	4.2649924195084215e-10	2.278204046798597e-10	6.726129893882797e-10
b'CM027507.1'	910000	945000	664	2.9974136452502617e-09	2.511735353222093e-09	3.285202821073767e-09
b'CM027507.1'	945000	980000	831	3.4094506424868284e-09	3.20933186538181e-09	3.5739274191297137e-09
b'CM027507.1'	980000	1015000	758	3.4093158460861878e-09	3.2091970689811695e-09	3.573792622729073e-09
b'CM027507.1'	1015000	1050000	825	3.077206853338091e-09	2.7696179212356147e-09	3.2700160386223944e-09
b'CM027507.1'	1050000	1085000	1066	3.5436272161691447e-09	3.3435084390641265e-09	3.70810399281203e-09
b'CM027507.1'	1085000	1120000	737	3.083964646223527e-09	2.776375714121051e-09	3.2767738315078307e-09
b'CM027507.1'	1120000	1155000	547	2.1872994006446143e-09	1.8642325162889315e-09	2.5135146388001835e-09
b'CM027507.1'	1155000	1190000	576	2.4884784400112023e-09	2.0088105013091804e-09	2.86715982070839e-09
b'CM027507.1'	1190000	1225000	856	3.135833268163549e-09	2.8633229649515895e-09	3.33085215808934e-09
b'CM027507.1'	1225000	1260000	1031	3.505278349641706e-09	3.3051595725366876e-09	3.6697551262845913e-09
b'CM027507.1'	1260000	1295000	1325	3.6429731093807352e-09	3.442854332275717e-09	3.807449886023621e-09
b'CM027507.1'	1295000	1330000	1304	3.6812839018371164e-09	3.481165124732098e-09	3.845760678480001e-09
b'CM027507.1'	1330000	1365000	1163	3.521191892434496e-09	3.3210731153294775e-09	3.685668669077381e-09
b'CM027507.1'	1365000	1400000	1028	3.4319758304885707e-09	3.2318570533835524e-09	3.596452607131456e-09
b'CM027507.1'	1400000	1435000	937	3.441385801677834e-09	3.2412670245728156e-09	3.6058625783207192e-09
b'CM027507.1'	1435000	1470000	922	3.455821786731675e-09	3.2557030096266568e-09	3.6202985633745604e-09
b'CM027507.1'	1470000	1505000	614	3.445290167598136e-09	3.2451713904931176e-09	3.6097669442410212e-09
b'CM027507.1'	1505000	1540000	678	3.458314219476498e-09	3.25819544237148e-09	3.6227909961193835e-09
b'CM027507.1'	1540000	1575000	856	3.3070128360101493e-09	2.8750979266167223e-09	3.557211769803449e-09
b'CM027507.1'	1575000	1610000	940	3.084986261049433e-09	2.7773973289469567e-09	3.2777954463337364e-09
b'CM027507.1'	1610000	1645000	970	3.4129788791523606e-09	3.2128601020473424e-09	3.577455655795246e-09
b'CM027507.1'	1645000	1680000	1197	3.650497349870514e-09	3.450378572765496e-09	3.8149741265134e-09
b'CM027507.1'	1680000	1715000	1341	3.7580642863692285e-09	3.55794550926421e-09	3.9225410630121134e-09
b'CM027507.1'	1715000	1750000	1217	3.639644584224572e-09	3.4395258071195538e-09	3.804121360867458e-09
b'CM027507.1'	1750000	1785000	1355	3.6765908587306117e-09	3.4764720816255934e-09	3.841067635373497e-09
b'CM027507.1'	1785000	1820000	1342	3.6307619743922003e-09	3.430643197287182e-09	3.795238751035085e-09
b'CM027507.1'	1820000	1855000	1439	3.67920389878127e-09	3.4790851216762517e-09	3.843680675424155e-09
b'CM027507.1'	1855000	1890000	1541	3.735505399267326e-09	3.535386622162308e-09	3.899982175910212e-09
b'CM027507.1'	1890000	1925000	1487	3.737655638342453e-09	3.5375368612374347e-09	3.902132414985338e-09
b'CM027507.1'	1925000	1960000	1557	3.763496581315035e-09	3.563377804210017e-09	3.92797335795792e-09
b'CM027507.1'	1960000	1995000	1291	3.6494686404972062e-09	3.449349863392188e-09	3.813945417140092e-09
b'CM027507.1'	1995000	2030000	1357	3.7061410675699367e-09	3.5060222904649184e-09	3.870617844212822e-09
b'CM027507.1'	2030000	2065000	1564	3.7315466418169414e-09	3.531427864711923e-09	3.896023418459827e-09
b'CM027507.1'	2065000	2100000	1366	3.6638521259002717e-09	3.4637333487952534e-09	3.828328902543157e-09
b'CM027507.1'	2100000	2135000	1488	3.733951575143805e-09	3.5338327980387867e-09	3.89842835178669e-09
b'CM027507.1'	2135000	2170000	1540	3.69550645925661e-09	3.4953876821515918e-09	3.859983235899495e-09
b'CM027507.1'	2170000	2205000	1753	3.765828440803656e-09	3.565709663698638e-09	3.930305217446542e-09
b'CM027507.1'	2205000	2240000	1505	3.762704829824958e-09	3.5625860527199396e-09	3.927181606467844e-09
b'CM027507.1'	2240000	2275000	1464	3.7403677655718286e-09	3.5402489884668103e-09	3.9048445422147135e-09
b'CM027507.1'	2275000	2310000	1711	3.776545700594217e-09	3.576426923489199e-09	3.941022477237102e-09
b'CM027507.1'	2310000	2345000	1748	3.786111870068785e-09	3.5859930929637665e-09	3.95058864671167e-09
b'CM027507.1'	2345000	2380000	1378	3.753013796316114e-09	3.5528950192110957e-09	3.917490572959e-09
b'CM027507.1'	2380000	2415000	1310	3.5276287752924424e-09	3.327509998187424e-09	3.692105551935328e-09
b'CM027507.1'	2415000	2450000	1383	3.6484148637230774e-09	3.448296086618059e-09	3.812891640365963e-09
b'CM027507.1'	2450000	2485000	1593	3.7606931709090856e-09	3.5605743938040673e-09	3.925169947551971e-09
b'CM027507.1'	2485000	2520000	1520	3.6538615842486015e-09	3.4537428071435832e-09	3.8183383608914865e-09
b'CM027507.1'	2520000	2555000	1575	3.78302538722149e-09	3.582906610116472e-09	3.947502163864375e-09
b'CM027507.1'	2555000	2590000	1675	3.6817826485194854e-09	3.481663871414467e-09	3.846259425162371e-09
b'CM027507.1'	2590000	2625000	1270	3.5468249651681952e-09	3.346706188063177e-09	3.7113017418110806e-09
b'CM027507.1'	2625000	2660000	1344	3.732739826447522e-09	3.5326210493425036e-09	3.897216603090408e-09
b'CM027507.1'	2660000	2695000	859	3.456227358358163e-09	3.256108581253145e-09	3.6207041350010485e-09
b'CM027507.1'	2695000	2730000	891	3.081533463071276e-09	2.7739445309688e-09	3.2743426483555795e-09
b'CM027507.1'	2730000	2765000	1285	3.6347051238383004e-09	3.434586346733282e-09	3.799181900481186e-09
b'CM027507.1'	2765000	2800000	1367	3.621692423235782e-09	3.4215736461307636e-09	3.786169199878667e-09
b'CM027507.1'	2800000	2835000	1425	3.728046192128733e-09	3.527927415023715e-09	3.892522968771618e-09
b'CM027507.1'	2835000	2870000	1335	3.7130303460672257e-09	3.5129115689622074e-09	3.8775071227101115e-09
b'CM027507.1'	2870000	2905000	1216	3.6202253890754796e-09	3.4201066119704614e-09	3.784702165718365e-09
b'CM027507.1'	2905000	2940000	1158	3.6085995542476196e-09	3.4084807771426013e-09	3.773076330890505e-09
b'CM027507.1'	2940000	2975000	1444	3.734797599921508e-09	3.5346788228164898e-09	3.899274376564394e-09
b'CM027507.1'	2975000	3010000	1461	3.6344140109099e-09	3.4342952338048816e-09	3.798890787552785e-09
b'CM027507.1'	3010000	3045000	1339	3.7242976697663647e-09	3.5241788926613464e-09	3.88877444640925e-09
b'CM027507.1'	3045000	3080000	1448	3.6860410323551537e-09	3.4859222552501354e-09	3.850517808998039e-09
b'CM027507.1'	3080000	3115000	1275	3.724708680545861e-09	3.5245899034408427e-09	3.889185457188747e-09
b'CM027507.1'	3115000	3150000	1188	3.6386993540256958e-09	3.4385805769206775e-09	3.803176130668581e-09
b'CM027507.1'	3150000	3185000	1330	3.7014922471422383e-09	3.50137347003722e-09	3.865969023785123e-09
b'CM027507.1'	3185000	3220000	1181	3.7175975791997996e-09	3.5174788020947813e-09	3.882074355842685e-09
b'CM027507.1'	3220000	3255000	1493	3.59872370777895e-09	3.398604930673932e-09	3.7632004844218355e-09
b'CM027507.1'	3255000	3290000	1303	3.7075862268757496e-09	3.5074674497707313e-09	3.8720630035186345e-09
b'CM027507.1'	3290000	3325000	1271	3.663644492146303e-09	3.4635257150412846e-09	3.828121268789189e-09
b'CM027507.1'	3325000	3360000	1192	3.592883949327349e-09	3.3927651722223306e-09	3.757360725970235e-09
b'CM027507.1'	3360000	3395000	1212	3.617753412275666e-09	3.4176346351706478e-09	3.782230188918552e-09
b'CM027507.1'	3395000	3430000	1217	3.6307745080926103e-09	3.430655730987592e-09	3.795251284735496e-09
b'CM027507.1'	3430000	3465000	1293	3.572390403216661e-09	3.3722716261116427e-09	3.736867179859546e-09
b'CM027507.1'	3465000	3500000	1485	3.6978450585652634e-09	3.497726281460245e-09	3.862321835208149e-09
b'CM027507.1'	3500000	3535000	1391	3.750588761771611e-09	3.5504699846665927e-09	3.915065538414496e-09
b'CM027507.1'	3535000	3570000	1120	3.521739827978853e-09	3.3216210508738347e-09	3.6862166046217384e-09
b'CM027507.1'	3570000	3605000	1115	3.5630924076338942e-09	3.362973630528876e-09	3.727569184276779e-09
b'CM027507.1'	3605000	3640000	1224	3.444519463265352e-09	3.2444006861603335e-09	3.608996239908237e-09
b'CM027507.1'	3640000	3675000	886	3.455931752216408e-09	3.2558129751113897e-09	3.6204085288592933e-09
b'CM027507.1'	3675000	3710000	1179	3.6419957172336363e-09	3.441876940128618e-09	3.806472493876522e-09
b'CM027507.1'	3710000	3745000	1167	3.581084298088137e-09	3.3809655209831187e-09	3.745561074731022e-09
b'CM027507.1'	3745000	3780000	1293	3.66903516574735e-09	3.468916388642332e-09	3.833511942390235e-09
b'CM027507.1'	3780000	3815000	1189	3.574416842439621e-09	3.3742980653346026e-09	3.738893619082506e-09
b'CM027507.1'	3815000	3850000	1184	3.5578508377707488e-09	3.3577320606657305e-09	3.722327614413634e-09
b'CM027507.1'	3850000	3885000	1248	3.6487244224747234e-09	3.448605645369705e-09	3.813201199117609e-09
b'CM027507.1'	3885000	3920000	866	3.536389831879325e-09	3.3362710547743066e-09	3.7008666085222103e-09
b'CM027507.1'	3920000	3955000	935	3.5346115835729823e-09	3.334492806467964e-09	3.6990883602158677e-09
b'CM027507.1'	3955000	3990000	890	3.4736892861214665e-09	3.2735705090164482e-09	3.638166062764352e-09
b'CM027507.1'	3990000	4025000	712	1.9506368296675672e-09	1.558414891406295e-09	2.4391421658500657e-09
b'CM027507.1'	4025000	4060000	1111	3.5281996498734e-09	3.328080872768382e-09	3.6926764265162856e-09
b'CM027507.1'	4060000	4095000	901	3.4683029874913175e-09	3.2681842103862993e-09	3.632779764134203e-09
b'CM027507.1'	4095000	4130000	1075	3.5810485888662124e-09	3.380929811761194e-09	3.745525365509098e-09
b'CM027507.1'	4130000	4165000	850	3.0792957245781894e-09	2.7717067924757132e-09	3.272104909862493e-09
b'CM027507.1'	4165000	4200000	732	3.3671108409721076e-09	3.110687036559843e-09	3.6151769197616846e-09
b'CM027507.1'	4200000	4235000	810	2.9214960477255956e-09	2.6058928097375243e-09	3.1784410907456915e-09
b'CM027507.1'	4235000	4270000	622	3.213802753514752e-09	2.8280640347702747e-09	3.465007499408326e-09
b'CM027507.1'	4270000	4305000	510	9.080576624161927e-10	7.122541751033415e-10	1.1511406911220963e-09
b'CM027507.1'	4305000	4340000	592	2.621430437074927e-09	2.137505270469368e-09	2.8729340661089602e-09
b'CM027507.1'	4340000	4375000	707	3.3682347355230604e-09	3.1118109311107957e-09	3.6163008143126373e-09
b'CM027507.1'	4375000	4410000	560	2.0905408976791847e-09	1.722777777721953e-09	2.8619676701404097e-09
b'CM027507.1'	4410000	4445000	551	1.0805630640697e-09	8.11654640763187e-10	1.514411548985044e-09
b'CM027507.1'	4445000	4480000	597	2.7872478970809425e-09	2.2640812537406533e-09	3.0269526697785777e-09
b'CM027507.1'	4480000	4515000	668	2.0749669332853336e-09	1.6307980177487755e-09	2.4360743161699735e-09
b'CM027507.1'	4515000	4550000	869	2.506717702860597e-09	2.1543779732460267e-09	2.764673381900009e-09
b'CM027507.1'	4550000	4585000	878	3.0909407146840353e-09	2.783351782581559e-09	3.2837498999683388e-09
b'CM027507.1'	4585000	4620000	815	1.2122759379826787e-09	8.645779231584183e-10	1.6036514755166676e-09
b'CM027507.1'	4620000	4655000	667	3.3657972855206042e-09	3.1093734811083395e-09	3.613863364310181e-09
b'CM027507.1'	4655000	4690000	656	2.306899024439149e-09	1.7990514326816669e-09	2.6735517492871865e-09
b'CM027507.1'	4690000	4725000	692	1.6897844585427288e-09	1.2898164442786106e-09	2.4048900499516997e-09
b'CM027507.1'	4725000	4760000	918	3.1431939793357088e-09	2.8706836761237495e-09	3.3382128692614997e-09
b'CM027507.1'	4760000	4795000	924	2.4124450166070516e-09	1.9329653106677397e-09	2.7054278434953287e-09
b'CM027507.1'	4795000	4830000	675	2.272966244072599e-09	1.6356948639619944e-09	2.726817889227256e-09
b'CM027507.1'	4830000	4865000	768	1.8947257925186572e-09	1.5150372535757778e-09	2.2916234572525987e-09
b'CM027507.1'	4865000	4900000	616	4.488698870616749e-10	2.5019104979069246e-10	6.949836344991124e-10
b'CM027507.1'	4900000	4935000	653	1.888471297468613e-09	1.608406823079172e-09	2.2643012035538137e-09
b'CM027507.1'	4935000	4970000	730	2.8339737272126777e-10	7.654378013317123e-11	5.006403130248311e-10
b'CM027507.1'	4970000	5005000	617	8.387086209798493e-10	5.761548311594193e-10	1.2291082280662712e-09
b'CM027507.1'	5005000	5040000	632	1.457881607621178e-09	1.2193727255323053e-09	1.9603833062060785e-09
b'CM027507.1'	5040000	5075000	385	1.2980273834184672e-09	8.505694099669967e-10	1.8564713467128751e-09
b'CM027507.1'	5075000	5110000	447	9.733576002052993e-10	7.523217633493453e-10	1.2287195734390245e-09
b'CM027507.1'	5110000	5145000	553	1.5731420533066578e-09	1.1887687312467857e-09	2.115198608503892e-09
b'CM027507.1'	5145000	5180000	886	3.3398619944135794e-09	3.100157304982671e-09	3.548789491938348e-09
b'CM027507.1'	5180000	5215000	684	1.5141011577674827e-09	1.0044462450504436e-09	2.08265200861099e-09
b'CM027507.1'	5215000	5250000	778	3.0090710621208675e-09	2.5301906157124423e-09	3.2584120544185428e-09
b'CM027507.1'	5250000	5285000	758	1.9476600533452225e-09	1.5299976292548632e-09	2.4371778629661427e-09
b'CM027507.1'	5285000	5320000	776	3.0006423958795777e-09	2.665759763144177e-09	3.268768955723229e-09
b'CM027507.1'	5320000	5355000	871	2.923045851605589e-09	2.6074426136175177e-09	3.179990894625685e-09
b'CM027507.1'	5355000	5390000	831	3.025781559071829e-09	2.546901112663404e-09	3.2751225513695044e-09
b'CM027507.1'	5390000	5425000	866	3.4809964334607408e-09	3.2808776563557225e-09	3.645473210103626e-09
b'CM027507.1'	5425000	5460000	1194	3.418195145129772e-09	3.2180763680247538e-09	3.5826719217726574e-09
b'CM027507.1'	5460000	5495000	1090	3.1545592077889974e-09	2.882048904577038e-09	3.3495780977147884e-09
b'CM027507.1'	5495000	5530000	1091	3.5236334809229366e-09	3.3235147038179184e-09	3.688110257565822e-09
b'CM027507.1'	5530000	5565000	979	3.476002936271756e-09	3.2758841591667375e-09	3.640479712914641e-09
b'CM027507.1'	5565000	5600000	986	3.441716407586773e-09	3.2415976304817546e-09	3.6061931842296582e-09
b'CM027507.1'	5600000	5635000	776	1.8448968249912434e-09	1.465208286048364e-09	2.241794489725185e-09
b'CM027507.1'	5635000	5670000	895	2.5106856832226046e-09	2.1583459536080345e-09	2.7686413622620167e-09
b'CM027507.1'	5670000	5705000	986	3.0811220975644093e-09	2.773533165461933e-09	3.273931282848713e-09
b'CM027507.1'	5705000	5740000	812	3.4069365713724288e-09	3.2068177942674105e-09	3.571413348015314e-09
b'CM027507.1'	5740000	5775000	1142	3.5503519011667044e-09	3.350233124061686e-09	3.7148286778095898e-09
b'CM027507.1'	5775000	5810000	1031	3.4726047663085954e-09	3.272485989203577e-09	3.6370815429514808e-09
b'CM027507.1'	5810000	5845000	1177	3.6370120341685574e-09	3.436893257063539e-09	3.801488810811443e-09
b'CM027507.1'	5845000	5880000	1151	3.521426603711049e-09	3.321307826606031e-09	3.6859033803539345e-09
b'CM027507.1'	5880000	5915000	1049	3.0744066354784726e-09	2.7668177033759965e-09	3.267215820762776e-09
b'CM027507.1'	5915000	5950000	824	3.4289024725539707e-09	3.2287836954489524e-09	3.593379249196856e-09
b'CM027507.1'	5950000	5985000	1035	3.487081308525085e-09	3.2869625314200668e-09	3.6515580851679704e-09
b'CM027507.1'	5985000	6020000	1137	3.4980364721385314e-09	3.297917695033513e-09	3.6625132487814168e-09
b'CM027507.1'	6020000	6055000	1186	3.5638022171014772e-09	3.363683439996459e-09	3.728278993744362e-09
b'CM027507.1'	6055000	6090000	1405	3.706479122753648e-09	3.5063603456486296e-09	3.870955899396533e-09
b'CM027507.1'	6090000	6125000	1132	3.57400204790151e-09	3.3738832707964916e-09	3.738478824544395e-09
b'CM027507.1'	6125000	6160000	1177	3.608860515349561e-09	3.4087417382445427e-09	3.773337291992447e-09
b'CM027507.1'	6160000	6195000	1401	3.729945402468282e-09	3.529826625363264e-09	3.894422179111167e-09
b'CM027507.1'	6195000	6230000	1542	3.6462147263312225e-09	3.4460959492262043e-09	3.8106915029741075e-09
b'CM027507.1'	6230000	6265000	1379	3.679623541260106e-09	3.479504764155088e-09	3.844100317902991e-09
b'CM027507.1'	6265000	6300000	1522	3.7457843342708935e-09	3.5456655571658752e-09	3.9102611109137784e-09
b'CM027507.1'	6300000	6335000	1674	3.786411614696524e-09	3.586292837591506e-09	3.95088839133941e-09
b'CM027507.1'	6335000	6370000	1446	3.7033257146758605e-09	3.5032069375708422e-09	3.867802491318746e-09
b'CM027507.1'	6370000	6405000	1427	3.693206643473755e-09	3.493087866368737e-09	3.857683420116641e-09
b'CM027507.1'	6405000	6440000	1559	3.720913807140465e-09	3.520795030035447e-09	3.885390583783351e-09
b'CM027507.1'	6440000	6475000	1610	3.6489443534441896e-09	3.4488255763391713e-09	3.8134211300870745e-09
b'CM027507.1'	6475000	6510000	1148	3.6501166091599338e-09	3.4499978320549155e-09	3.814593385802819e-09
b'CM027507.1'	6510000	6545000	1384	3.6209270398135492e-09	3.420808262708531e-09	3.785403816456434e-09
b'CM027507.1'	6545000	6580000	1450	3.76755608133853e-09	3.567437304233512e-09	3.932032857981416e-09
b'CM027507.1'	6580000	6615000	1622	3.7446278048018904e-09	3.544509027696872e-09	3.909104581444776e-09
b'CM027507.1'	6615000	6650000	1649	3.6919295066989163e-09	3.491810729593898e-09	3.856406283341802e-09
b'CM027507.1'	6650000	6685000	1617	3.745202699626376e-09	3.5450839225213574e-09	3.909679476269261e-09
b'CM027507.1'	6685000	6720000	1390	3.743500244734779e-09	3.543381467629761e-09	3.907977021377664e-09
b'CM027507.1'	6720000	6755000	1365	3.6927122717622836e-09	3.4925934946572654e-09	3.857189048405169e-09
b'CM027507.1'	6755000	6790000	1558	3.816868506693841e-09	3.6167497295888224e-09	3.9813452833367264e-09
b'CM027507.1'	6790000	6825000	1572	3.7143194253301913e-09	3.514200648225173e-09	3.878796201973076e-09
b'CM027507.1'	6825000	6860000	1544	3.73922613465237e-09	3.5391073575473516e-09	3.903702911295255e-09
b'CM027507.1'	6860000	6895000	1411	3.680728280533073e-09	3.4806095034280547e-09	3.845205057175958e-09
b'CM027507.1'	6895000	6930000	1400	3.760680164238848e-09	3.56056138713383e-09	3.925156940881733e-09
b'CM027507.1'	6930000	6965000	1570	3.7185267284245643e-09	3.518407951319546e-09	3.883003505067449e-09
b'CM027507.1'	6965000	7000000	1453	3.6748278637011835e-09	3.474709086596165e-09	3.8393046403440684e-09
b'CM027507.1'	7000000	7035000	1513	3.6477449019634037e-09	3.4476261248583855e-09	3.8122216786062895e-09
b'CM027507.1'	7035000	7070000	1570	3.737499913026977e-09	3.5373811359219584e-09	3.9019766896698624e-09
b'CM027507.1'	7070000	7105000	1460	3.6309149801311727e-09	3.4307962030261545e-09	3.7953917567740585e-09
b'CM027507.1'	7105000	7140000	1479	3.773694401993304e-09	3.5735756248882858e-09	3.93817117863619e-09
b'CM027507.1'	7140000	7175000	1477	3.675034551515499e-09	3.474915774410481e-09	3.839511328158384e-09
b'CM027507.1'	7175000	7210000	1417	3.7287537549896386e-09	3.5286349778846203e-09	3.893230531632524e-09
b'CM027507.1'	7210000	7245000	1324	3.6221156129883186e-09	3.4219968358833003e-09	3.7865923896312035e-09
b'CM027507.1'	7245000	7280000	1445	3.692354115360933e-09	3.4922353382559148e-09	3.856830892003819e-09
b'CM027507.1'	7280000	7315000	1501	3.758250045268708e-09	3.5581312681636897e-09	3.922726821911593e-09
b'CM027507.1'	7315000	7350000	1569	3.776993839505118e-09	3.5768750624000998e-09	3.941470616148003e-09
b'CM027507.1'	7350000	7385000	1240	3.6424015253450375e-09	3.4422827482400193e-09	3.806878301987923e-09
b'CM027507.1'	7385000	7420000	1381	3.688269193209247e-09	3.4881504161042287e-09	3.852745969852132e-09
b'CM027507.1'	7420000	7455000	1261	3.7106394835927098e-09	3.5105207064876915e-09	3.8751162602355956e-09
b'CM027507.1'	7455000	7490000	1268	3.6790330384313357e-09	3.4789142613263174e-09	3.843509815074221e-09
b'CM027507.1'	7490000	7525000	1159	3.55706417070631e-09	3.3569453936012917e-09	3.7215409473491953e-09
b'CM027507.1'	7525000	7560000	1271	3.632893885886538e-09	3.4327751087815197e-09	3.797370662529423e-09
b'CM027507.1'	7560000	7595000	1261	3.6518958034059295e-09	3.4517770263009112e-09	3.8163725800488145e-09
b'CM027507.1'	7595000	7630000	1375	3.646066332048061e-09	3.445947554943043e-09	3.810543108690947e-09
b'CM027507.1'	7630000	7665000	1166	3.6448438232882184e-09	3.4447250461832e-09	3.809320599931103e-09
b'CM027507.1'	7665000	7700000	1361	3.6714594908371122e-09	3.471340713732094e-09	3.835936267479998e-09
b'CM027507.1'	7700000	7735000	1295	3.6859360330536023e-09	3.485817255948584e-09	3.850412809696488e-09
b'CM027507.1'	7735000	7770000	1433	3.666448375522079e-09	3.4663295984170607e-09	3.830925152164965e-09
b'CM027507.1'	7770000	7805000	1697	3.735570669103426e-09	3.5354518919984077e-09	3.900047445746311e-09
b'CM027507.1'	7805000	7840000	1521	3.77849244440136e-09	3.578373667296342e-09	3.942969221044245e-09
b'CM027507.1'	7840000	7875000	1635	3.7050506356342306e-09	3.5049318585292123e-09	3.869527412277116e-09
b'CM027507.1'	7875000	7910000	1613	3.739042622359569e-09	3.5389238452545504e-09	3.903519399002454e-09
b'CM027507.1'	7910000	7945000	1458	3.7193898983584893e-09	3.519271121253471e-09	3.883866675001375e-09
b'CM027507.1'	7945000	7980000	1525	3.769008098706832e-09	3.5688893216018137e-09	3.933484875349717e-09
b'CM027507.1'	7980000	8015000	1474	3.6592591159121365e-09	3.4591403388071183e-09	3.823735892555022e-09
b'CM027507.1'	8015000	8050000	1572	3.774162405636931e-09	3.5740436285319124e-09	3.9386391822798165e-09
b'CM027507.1'	8050000	8085000	1541	3.6191517475686246e-09	3.4190329704636063e-09	3.78362852421151e-09
b'CM027507.1'	8085000	8120000	1359	3.6937934807863672e-09	3.493674703681349e-09	3.858270257429253e-09
b'CM027507.1'	8120000	8155000	1533	3.70443719376886e-09	3.5043184166638418e-09	3.868913970411745e-09
b'CM027507.1'	8155000	8190000	1474	3.792597114091522e-09	3.592478336986504e-09	3.957073890734408e-09
b'CM027507.1'	8190000	8225000	1475	3.691356740238651e-09	3.4912379631336328e-09	3.855833516881537e-09
b'CM027507.1'	8225000	8260000	1336	3.664628151143607e-09	3.464509374038589e-09	3.8291049277864926e-09
b'CM027507.1'	8260000	8295000	1620	3.745749216261253e-09	3.5456304391562346e-09	3.910225992904138e-09
b'CM027507.1'	8295000	8330000	1567	3.6630684148972504e-09	3.462949637792232e-09	3.827545191540136e-09
b'CM027507.1'	8330000	8365000	1293	3.6079959265061556e-09	3.4078771494011373e-09	3.772472703149041e-09
b'CM027507.1'	8365000	8400000	1497	3.752884675553395e-09	3.552765898448377e-09	3.91736145219628e-09
b'CM027507.1'	8400000	8435000	1248	3.6874880835402732e-09	3.487369306435255e-09	3.851964860183159e-09
b'CM027507.1'	8435000	8470000	1316	3.6540019380447063e-09	3.453883160939688e-09	3.818478714687591e-09
b'CM027507.1'	8470000	8505000	1291	3.677959515166938e-09	3.4778407380619196e-09	3.842436291809823e-09
b'CM027507.1'	8505000	8540000	1311	3.750457039674845e-09	3.550338262569827e-09	3.91493381631773e-09
b'CM027507.1'	8540000	8575000	1195	3.5969446317754108e-09	3.3968258546703925e-09	3.7614214084182966e-09
b'CM027507.1'	8575000	8610000	964	3.4913432396344544e-09	3.291224462529436e-09	3.65582001627734e-09
b'CM027507.1'	8610000	8645000	1262	3.6625184692311293e-09	3.462399692126111e-09	3.826995245874014e-09
b'CM027507.1'	8645000	8680000	1098	3.491490215008135e-09	3.2913714379031168e-09	3.6559669916510204e-09
b'CM027507.1'	8680000	8715000	1088	3.5769879064181504e-09	3.376869129313132e-09	3.741464683061036e-09
b'CM027507.1'	8715000	8750000	927	3.3453929035682746e-09	3.1056882141373663e-09	3.5543204010930434e-09
b'CM027507.1'	8750000	8785000	1011	3.5477631008196693e-09	3.347644323714651e-09	3.7122398774625547e-09
b'CM027507.1'	8785000	8820000	1016	3.0725901948586156e-09	2.7650012627561394e-09	3.265399380142919e-09
b'CM027507.1'	8820000	8855000	897	3.451394670910293e-09	3.251275893805275e-09	3.6158714475531785e-09
b'CM027507.1'	8855000	8890000	812	2.5103388780970973e-09	2.157999148482527e-09	2.7682945571365094e-09
