chrom	start	end	nSites	recombRate
b'CM027507.1'	5285000	5320000	776	2.8140115817889463e-09
b'CM027507.1'	5320000	5355000	871	2.792352992752373e-09
b'CM027507.1'	5355000	5390000	831	2.9419093627779263e-09
b'CM027507.1'	5390000	5425000	866	3.1699909030266886e-09
b'CM027507.1'	5425000	5460000	1194	3.10718961469572e-09
b'CM027507.1'	5460000	5495000	1090	3.044562024533647e-09
b'CM027507.1'	5495000	5530000	1091	3.2126279504888845e-09
b'CM027507.1'	5530000	5565000	979	3.1649974058377036e-09
b'CM027507.1'	5565000	5600000	986	3.1307108771527207e-09
b'CM027507.1'	5600000	5635000	776	2.039346688357067e-09
b'CM027507.1'	5635000	5670000	895	2.771750545339063e-09
b'CM027507.1'	5670000	5705000	986	3.0560074213725794e-09
b'CM027507.1'	5705000	5740000	812	3.0959310409383766e-09
b'CM027507.1'	5740000	5775000	1142	3.2393463707326522e-09
b'CM027507.1'	5775000	5810000	1031	3.1615992358745432e-09
b'CM027507.1'	5810000	5845000	1177	3.3260065037345053e-09
b'CM027507.1'	5845000	5880000	1151	3.210421073276997e-09
b'CM027507.1'	5880000	5915000	1049	3.0492919592866427e-09
b'CM027507.1'	5915000	5950000	824	3.1178969421199185e-09
b'CM027507.1'	5950000	5985000	1035	3.176075778091033e-09
b'CM027507.1'	5985000	6020000	1137	3.1870309417044792e-09
b'CM027507.1'	6020000	6055000	1186	3.252796686667425e-09
b'CM027507.1'	6055000	6090000	1405	3.3954735923195957e-09
b'CM027507.1'	6090000	6125000	1132	3.2629965174674577e-09
b'CM027507.1'	6125000	6160000	1177	3.2978549849155088e-09
b'CM027507.1'	6160000	6195000	1401	3.41893987203423e-09
b'CM027507.1'	6195000	6230000	1542	3.3352091958971704e-09
b'CM027507.1'	6230000	6265000	1379	3.368618010826054e-09
b'CM027507.1'	6265000	6300000	1522	3.4347788038368413e-09
b'CM027507.1'	6300000	6335000	1674	3.475406084262472e-09
b'CM027507.1'	6335000	6370000	1446	3.3923201842418083e-09
b'CM027507.1'	6370000	6405000	1427	3.382201113039703e-09
b'CM027507.1'	6405000	6440000	1559	3.409908276706413e-09
b'CM027507.1'	6440000	6475000	1610	3.3379388230101374e-09
b'CM027507.1'	6475000	6510000	1148	3.3391110787258816e-09
b'CM027507.1'	6510000	6545000	1384	3.309921509379497e-09
b'CM027507.1'	6545000	6580000	1450	3.456550550904478e-09
b'CM027507.1'	6580000	6615000	1622	3.4336222743678383e-09
b'CM027507.1'	6615000	6650000	1649	3.380923976264864e-09
b'CM027507.1'	6650000	6685000	1617	3.4341971691923235e-09
b'CM027507.1'	6685000	6720000	1390	3.432494714300727e-09
b'CM027507.1'	6720000	6755000	1365	3.3817067413282315e-09
b'CM027507.1'	6755000	6790000	1558	3.5058629762597885e-09
b'CM027507.1'	6790000	6825000	1572	3.403313894896139e-09
b'CM027507.1'	6825000	6860000	1544	3.4282206042183177e-09
b'CM027507.1'	6860000	6895000	1411	3.369722750099021e-09
b'CM027507.1'	6895000	6930000	1400	3.449674633804796e-09
b'CM027507.1'	6930000	6965000	1570	3.407521197990512e-09
b'CM027507.1'	6965000	7000000	1453	3.3638223332671313e-09
b'CM027507.1'	7000000	7035000	1513	3.3367393715293516e-09
b'CM027507.1'	7035000	7070000	1570	3.4264943825929245e-09
b'CM027507.1'	7070000	7105000	1460	3.3199094496971206e-09
b'CM027507.1'	7105000	7140000	1479	3.462688871559252e-09
b'CM027507.1'	7140000	7175000	1477	3.364029021081447e-09
b'CM027507.1'	7175000	7210000	1417	3.4177482245555864e-09
b'CM027507.1'	7210000	7245000	1324	3.3111100825542664e-09
b'CM027507.1'	7245000	7280000	1445	3.381348584926881e-09
b'CM027507.1'	7280000	7315000	1501	3.447244514834656e-09
b'CM027507.1'	7315000	7350000	1569	3.4659883090710663e-09
b'CM027507.1'	7350000	7385000	1240	3.3313959949109854e-09
b'CM027507.1'	7385000	7420000	1381	3.377263662775195e-09
b'CM027507.1'	7420000	7455000	1261	3.3996339531586576e-09
b'CM027507.1'	7455000	7490000	1268	3.3680275079972835e-09
b'CM027507.1'	7490000	7525000	1159	3.246058640272258e-09
b'CM027507.1'	7525000	7560000	1271	3.3218883554524858e-09
b'CM027507.1'	7560000	7595000	1261	3.3408902729718773e-09
b'CM027507.1'	7595000	7630000	1375	3.335060801614009e-09
b'CM027507.1'	7630000	7665000	1166	3.333838292854166e-09
b'CM027507.1'	7665000	7700000	1361	3.36045396040306e-09
b'CM027507.1'	7700000	7735000	1295	3.37493050261955e-09
b'CM027507.1'	7735000	7770000	1433	3.355442845088027e-09
b'CM027507.1'	7770000	7805000	1697	3.424565138669374e-09
b'CM027507.1'	7805000	7840000	1521	3.467486913967308e-09
b'CM027507.1'	7840000	7875000	1635	3.3940451052001784e-09
b'CM027507.1'	7875000	7910000	1613	3.4280370919255166e-09
b'CM027507.1'	7910000	7945000	1458	3.408384367924437e-09
b'CM027507.1'	7945000	7980000	1525	3.4580025682727794e-09
b'CM027507.1'	7980000	8015000	1474	3.3482535854780844e-09
b'CM027507.1'	8015000	8050000	1572	3.4631568752028786e-09
b'CM027507.1'	8050000	8085000	1541	3.3081462171345724e-09
b'CM027507.1'	8085000	8120000	1359	3.382787950352315e-09
b'CM027507.1'	8120000	8155000	1533	3.393431663334808e-09
b'CM027507.1'	8155000	8190000	1474	3.4815915836574703e-09
b'CM027507.1'	8190000	8225000	1475	3.380351209804599e-09
b'CM027507.1'	8225000	8260000	1336	3.353622620709555e-09
b'CM027507.1'	8260000	8295000	1620	3.4347436858272007e-09
b'CM027507.1'	8295000	8330000	1567	3.3520628844631983e-09
b'CM027507.1'	8330000	8365000	1293	3.2969903960721034e-09
b'CM027507.1'	8365000	8400000	1497	3.441879145119343e-09
b'CM027507.1'	8400000	8435000	1248	3.376482553106221e-09
b'CM027507.1'	8435000	8470000	1316	3.342996407610654e-09
b'CM027507.1'	8470000	8505000	1291	3.3669539847328857e-09
b'CM027507.1'	8505000	8540000	1311	3.439451509240793e-09
b'CM027507.1'	8540000	8575000	1195	3.2859391013413586e-09
b'CM027507.1'	8575000	8610000	964	3.1803377092004023e-09
b'CM027507.1'	8610000	8645000	1262	3.351512938797077e-09
b'CM027507.1'	8645000	8680000	1098	3.180484684574083e-09
b'CM027507.1'	8680000	8715000	1088	3.2659823759840983e-09
b'CM027507.1'	8715000	8750000	927	2.9974187570465355e-09
b'CM027507.1'	8750000	8785000	1011	3.236757570385617e-09
b'CM027507.1'	8785000	8820000	1016	3.0474755186667857e-09
b'CM027507.1'	8820000	8855000	897	3.140389140476241e-09
b'CM027507.1'	8855000	8890000	812	2.7714037402135556e-09
b'CM027507.1'	8890000	8925000	956	2.9750926893418795e-09
b'CM027507.1'	8925000	8960000	1038	3.225050384747546e-09
b'CM027507.1'	8960000	8995000	1147	3.177439468344178e-09
b'CM027507.1'	8995000	9030000	1098	3.303102703386403e-09
b'CM027507.1'	9030000	9065000	1091	3.160615458634782e-09
b'CM027507.1'	9065000	9100000	1059	3.190458672281815e-09
b'CM027507.1'	9100000	9135000	1079	3.2650493247582625e-09
b'CM027507.1'	9135000	9170000	904	3.2191484307637196e-09
b'CM027507.1'	9170000	9205000	943	3.1370683010797636e-09
b'CM027507.1'	9205000	9240000	971	3.1899321386221206e-09
b'CM027507.1'	9240000	9275000	1116	3.319451851389683e-09
b'CM027507.1'	9275000	9310000	925	3.111275719271973e-09
b'CM027507.1'	9310000	9345000	968	3.059862125461067e-09
b'CM027507.1'	9345000	9380000	987	3.21635400678448e-09
b'CM027507.1'	9380000	9415000	1207	3.3778944862817005e-09
b'CM027507.1'	9415000	9450000	1219	3.3089554685082414e-09
b'CM027507.1'	9450000	9485000	1101	3.324856714085535e-09
b'CM027507.1'	9485000	9520000	1058	3.175307438607383e-09
b'CM027507.1'	9520000	9555000	1080	3.203763195267474e-09
b'CM027507.1'	9555000	9590000	1212	3.324746039146061e-09
b'CM027507.1'	9590000	9625000	1023	3.215356868147111e-09
b'CM027507.1'	9625000	9660000	871	2.972977450033936e-09
b'CM027507.1'	9660000	9695000	1074	3.206031322071933e-09
b'CM027507.1'	9695000	9730000	1142	3.352861494015764e-09
b'CM027507.1'	9730000	9765000	1151	3.3616336653935765e-09
b'CM027507.1'	9765000	9800000	1163	3.255930939467226e-09
b'CM027507.1'	9800000	9835000	1138	3.2484876950602882e-09
b'CM027507.1'	9835000	9870000	1325	3.385210974775054e-09
b'CM027507.1'	9870000	9905000	1264	3.259560864645523e-09
b'CM027507.1'	9905000	9940000	1124	3.3165560936250497e-09
b'CM027507.1'	9940000	9975000	1183	3.3226763231839486e-09
b'CM027507.1'	9975000	10010000	1285	3.3533208659600512e-09
b'CM027507.1'	10010000	10045000	1095	3.3017392496181718e-09
b'CM027507.1'	10045000	10080000	1111	3.293054695900775e-09
b'CM027507.1'	10080000	10115000	1166	3.3267996741340627e-09
b'CM027507.1'	10115000	10150000	1375	3.306231162305826e-09
b'CM027507.1'	10150000	10185000	1277	3.354529658594917e-09
b'CM027507.1'	10185000	10220000	1165	3.328352197590561e-09
b'CM027507.1'	10220000	10255000	1393	3.319361514152763e-09
b'CM027507.1'	10255000	10290000	908	3.042794891018235e-09
b'CM027507.1'	10290000	10325000	1155	3.344405029997346e-09
b'CM027507.1'	10325000	10360000	817	2.964967942501852e-09
b'CM027507.1'	10360000	10395000	986	3.1560922116961013e-09
b'CM027507.1'	10395000	10430000	801	2.9523577392219475e-09
b'CM027507.1'	10430000	10465000	985	3.137380934135284e-09
b'CM027507.1'	10465000	10500000	719	3.1958901395304245e-09
b'CM027507.1'	10500000	10535000	667	2.560272610860404e-09
b'CM027507.1'	10535000	10570000	575	1.7586377215778168e-09
b'CM027507.1'	10570000	10605000	796	2.8030026178577007e-09
b'CM027507.1'	10605000	10640000	739	2.8391725123930344e-09
b'CM027507.1'	10640000	10675000	709	2.867884382214342e-09
b'CM027507.1'	10675000	10710000	749	2.119681618501329e-09
b'CM027507.1'	10710000	10745000	712	1.479193165729003e-09
b'CM027507.1'	10745000	10780000	746	2.91657520697477e-09
b'CM027507.1'	10780000	10815000	751	1.3010991709223992e-09
b'CM027507.1'	10815000	10850000	959	3.1043652753749348e-09
b'CM027507.1'	10850000	10885000	795	8.097414005511923e-10
b'CM027507.1'	10885000	10920000	867	3.0685330812959422e-09
b'CM027507.1'	10920000	10955000	898	2.746667654756398e-09
b'CM027507.1'	10955000	10990000	1014	3.008522078458229e-09
b'CM027507.1'	10990000	11025000	1105	3.0612545486311904e-09
b'CM027507.1'	11025000	11060000	890	2.893783855202991e-09
b'CM027507.1'	11060000	11095000	1128	3.3386104401642047e-09
b'CM027507.1'	11095000	11130000	992	3.1190232015200056e-09
b'CM027507.1'	11130000	11165000	855	3.0801513486065733e-09
b'CM027507.1'	11165000	11200000	731	2.1572938049629e-09
b'CM027507.1'	11200000	11235000	726	1.9675288510508976e-09
b'CM027507.1'	11235000	11270000	960	2.699835956142696e-09
b'CM027507.1'	11270000	11305000	797	2.3503130277682568e-09
b'CM027507.1'	11305000	11340000	756	2.5553861822159632e-09
b'CM027507.1'	11340000	11375000	876	2.4527899221120893e-09
b'CM027507.1'	11375000	11410000	1291	3.322442794331962e-09
b'CM027507.1'	11410000	11445000	858	2.938929416384121e-09
b'CM027507.1'	11445000	11480000	915	2.823337719076408e-09
b'CM027507.1'	11480000	11515000	844	3.121696781708496e-09
b'CM027507.1'	11515000	11550000	752	2.779562706210911e-09
b'CM027507.1'	11550000	11585000	1062	3.193615509390847e-09
b'CM027507.1'	11585000	11620000	1308	3.377749402787327e-09
b'CM027507.1'	11620000	11655000	1441	3.330850778943132e-09
b'CM027507.1'	11655000	11690000	1222	3.215323642016778e-09
b'CM027507.1'	11690000	11725000	1276	3.336172044222095e-09
b'CM027507.1'	11725000	11760000	1128	3.1776082003298916e-09
b'CM027507.1'	11760000	11795000	1208	3.3367996751822695e-09
b'CM027507.1'	11795000	11830000	1194	3.3429383505644134e-09
b'CM027507.1'	11830000	11865000	1218	3.3630755139106014e-09
b'CM027507.1'	11865000	11900000	1195	3.264828802576513e-09
b'CM027507.1'	11900000	11935000	1197	3.291026364798508e-09
b'CM027507.1'	11935000	11970000	1171	3.3345744703895932e-09
b'CM027507.1'	11970000	12005000	1459	3.395159658597052e-09
b'CM027507.1'	12005000	12040000	1378	3.363719817057171e-09
b'CM027507.1'	12040000	12075000	1273	3.418822339032268e-09
b'CM027507.1'	12075000	12110000	1391	3.3902970558076364e-09
b'CM027507.1'	12110000	12145000	1165	3.2535077968020312e-09
b'CM027507.1'	12145000	12180000	1178	3.1177275006794645e-09
b'CM027507.1'	12180000	12215000	1322	3.193469952926646e-09
b'CM027507.1'	12215000	12250000	1374	3.368847519434512e-09
b'CM027507.1'	12250000	12285000	1402	3.3501208703543236e-09
b'CM027507.1'	12285000	12320000	1377	3.44316065686508e-09
b'CM027507.1'	12320000	12355000	1441	3.360257914409848e-09
b'CM027507.1'	12355000	12390000	1407	3.374097011542257e-09
b'CM027507.1'	12390000	12425000	1444	3.3969181604131246e-09
b'CM027507.1'	12425000	12460000	1176	3.3382966246841176e-09
b'CM027507.1'	12460000	12495000	1453	3.395044490444224e-09
b'CM027507.1'	12495000	12530000	1194	3.3004744100588294e-09
b'CM027507.1'	12530000	12565000	1130	3.358045361560039e-09
b'CM027507.1'	12565000	12600000	1147	3.4207158737338947e-09
b'CM027507.1'	12600000	12635000	1278	3.3647966511103564e-09
b'CM027507.1'	12635000	12670000	1148	3.3044033704101255e-09
b'CM027507.1'	12670000	12705000	1153	3.341736888961864e-09
b'CM027507.1'	12705000	12740000	1054	3.058587708262732e-09
b'CM027507.1'	12740000	12775000	1194	3.3888991934845046e-09
b'CM027507.1'	12775000	12810000	950	3.217427648291334e-09
b'CM027507.1'	12810000	12845000	1256	3.352789957329459e-09
b'CM027507.1'	12845000	12880000	1126	3.242723611780976e-09
b'CM027507.1'	12880000	12915000	1352	3.1481674840054726e-09
b'CM027507.1'	12915000	12950000	1344	3.356811738009266e-09
b'CM027507.1'	12950000	12985000	1255	3.3643541878373774e-09
b'CM027507.1'	12985000	13020000	1390	3.397561872347411e-09
b'CM027507.1'	13020000	13055000	1163	3.3306170136062324e-09
b'CM027507.1'	13055000	13090000	1250	3.283613272218029e-09
b'CM027507.1'	13090000	13125000	1317	3.330222556770674e-09
b'CM027507.1'	13125000	13160000	1165	3.360883062278432e-09
b'CM027507.1'	13160000	13195000	1308	3.2788249256914225e-09
b'CM027507.1'	13195000	13230000	1187	3.2576060803513245e-09
b'CM027507.1'	13230000	13265000	1050	3.1148148342435227e-09
b'CM027507.1'	13265000	13300000	1208	3.321289575651747e-09
b'CM027507.1'	13300000	13335000	1161	3.2836350288300622e-09
b'CM027507.1'	13335000	13370000	1324	3.299245634448782e-09
b'CM027507.1'	13370000	13405000	1314	3.33809253820385e-09
b'CM027507.1'	13405000	13440000	1386	3.361899474436243e-09
b'CM027507.1'	13440000	13475000	1172	3.2716355478390236e-09
b'CM027507.1'	13475000	13510000	1294	3.35329331546764e-09
b'CM027507.1'	13510000	13545000	1301	3.340035143525008e-09
b'CM027507.1'	13545000	13580000	1263	3.2814235401623636e-09
b'CM027507.1'	13580000	13615000	1262	3.2928513188752477e-09
b'CM027507.1'	13615000	13650000	1181	3.229214884072593e-09
b'CM027507.1'	13650000	13685000	1249	3.2237045491053634e-09
b'CM027507.1'	13685000	13720000	1252	3.279653332343077e-09
b'CM027507.1'	13720000	13755000	1221	3.3037072770675205e-09
b'CM027507.1'	13755000	13790000	1242	3.2664843152127984e-09
b'CM027507.1'	13790000	13825000	1245	3.350545006046514e-09
b'CM027507.1'	13825000	13860000	1120	3.1289119364164555e-09
b'CM027507.1'	13860000	13895000	1264	3.2839944858984364e-09
b'CM027507.1'	13895000	13930000	1102	3.2502116700790043e-09
b'CM027507.1'	13930000	13965000	1370	3.3182596126987564e-09
b'CM027507.1'	13965000	14000000	1413	3.305601048254061e-09
b'CM027507.1'	14000000	14035000	1215	3.245673642833236e-09
b'CM027507.1'	14035000	14070000	1400	3.3381867774418415e-09
b'CM027507.1'	14070000	14105000	1176	3.0054411530064002e-09
b'CM027507.1'	14105000	14140000	1010	3.054350489826814e-09
b'CM027507.1'	14140000	14175000	903	2.865863500386847e-09
b'CM027507.1'	14175000	14210000	1022	3.137475764585559e-09
b'CM027507.1'	14210000	14245000	1308	3.1059464135059545e-09
b'CM027507.1'	14245000	14280000	867	2.6269462214059085e-09
b'CM027507.1'	14280000	14315000	534	1.728672016135794e-09
b'CM027507.1'	14315000	14350000	964	2.9330255705209874e-09
b'CM027507.1'	14350000	14385000	710	2.3021814898280294e-09
b'CM027507.1'	14385000	14420000	1028	1.985079312853657e-09
b'CM027507.1'	14420000	14455000	1166	2.6618612087482627e-09
b'CM027507.1'	14455000	14490000	1248	2.841633965614201e-09
b'CM027507.1'	14490000	14525000	1166	2.596504464443049e-09
b'CM027507.1'	14525000	14560000	1078	3.0908665982753705e-09
b'CM027507.1'	14560000	14595000	1255	3.2546839545188465e-09
b'CM027507.1'	14595000	14630000	776	2.217508894280881e-09
b'CM027507.1'	14630000	14665000	791	1.8818559686609708e-09
b'CM027507.1'	14665000	14700000	924	2.2274349937936485e-09
b'CM027507.1'	14700000	14735000	895	2.4953912603523614e-09
b'CM027507.1'	14735000	14770000	730	1.7341969799119636e-09
b'CM027507.1'	14770000	14805000	592	1.2434870119250291e-09
b'CM027507.1'	14805000	14840000	824	2.4101098935168826e-09
b'CM027507.1'	14840000	14875000	703	2.495754087330752e-09
b'CM027507.1'	14875000	14910000	727	2.658503595947751e-09
b'CM027507.1'	14910000	14945000	1233	3.2816469001630737e-09
b'CM027507.1'	14945000	14980000	886	1.8520650477404142e-09
b'CM027507.1'	14980000	15015000	744	1.406775410538448e-09
b'CM027507.1'	15015000	15050000	526	2.1392837051703255e-09
b'CM027507.1'	15050000	15085000	582	2.8676697721554274e-09
b'CM027507.1'	15085000	15120000	1093	2.443683301945495e-09
b'CM027507.1'	15120000	15155000	847	2.7057424033398775e-09
b'CM027507.1'	15155000	15190000	669	1.1271126677964047e-09
b'CM027507.1'	15190000	15225000	496	1.2292100038542238e-09
b'CM027507.1'	15225000	15260000	615	1.0398682988159864e-09
